name,posteam,c,window,type,mix
avg_epa_allowed,HOU,0.16955558800363887,7,s,7_s
avg_epa_allowed,IND,0.09375486225893968,20,m,20_m
avg_epa_allowed,JAX,0.40602547676908385,12,s,12_s
avg_epa_allowed,KC,0.24403406539259434,5,t,5_t
avg_epa_allowed,LA,0.11870911889480891,5,w,5_w
avg_epa_allowed,LAC,0.14112415319032312,6,t,6_t
avg_epa_allowed,LV,0.21594964667208763,20,m,20_m
avg_epa_allowed,MIA,0.15695654925489613,5,w,5_w
avg_epa_allowed,MIN,0.06282037422186104,5,t,5_t
avg_epa_allowed,NE,0.18736787714217876,20,m,20_m
avg_epa_allowed,NO,0.1686888891912792,12,s,12_s
avg_epa_allowed,NYG,0.11687823095450502,9,s,9_s
avg_epa_allowed,NYJ,0.23059302074587268,20,t,20_t
avg_epa_allowed,PHI,0.16445860765769824,10,w,10_w
avg_epa_allowed,PIT,0.15427740014044214,18,t,18_t
avg_epa_allowed,SEA,0.10248300035391511,5,t,5_t
avg_epa_allowed,SF,0.3436257059258686,20,m,20_m
avg_epa_allowed,TB,0.195104919505185,19,s,19_s
avg_epa_allowed,TEN,0.0896982753553008,9,w,9_w
avg_epa_allowed,WAS,0.23760598932524019,18,m,18_m
avg_wpa,ARI,0.3706297584227603,18,t,18_t
avg_wpa,ATL,0.34183154630886164,20,t,20_t
avg_wpa,BAL,0.147000742756982,5,t,5_t
avg_wpa,BUF,0.28616638037301034,8,s,8_s
avg_wpa,CAR,0.11489039554942368,16,t,16_t
avg_wpa,CHI,0.10482404927556312,12,t,12_t
avg_wpa,CIN,0.18249713035744125,20,t,20_t
avg_wpa,CLE,0.19583384937315446,18,r,18_r
avg_wpa,DAL,0.14117600587738546,17,m,17_m
avg_wpa,DEN,0.24125844430776783,10,s,10_s
avg_wpa,DET,0.09374374931429248,20,m,20_m
avg_wpa,GB,0.21241970010597241,8,t,8_t
avg_wpa,HOU,0.10168840375565576,6,s,6_s
avg_wpa,IND,0.11747756845255007,20,m,20_m
avg_wpa,JAX,0.3323403799640729,20,m,20_m
avg_wpa,KC,0.07884781144815148,20,m,20_m
avg_wpa,LA,0.20482294488048566,6,t,6_t
avg_wpa,LAC,0.06993342265278063,17,m,17_m
avg_wpa,LV,0.25541068418815016,20,m,20_m
avg_wpa,MIA,0.0910736965243964,5,t,5_t
avg_wpa,MIN,0.21339846113310984,14,t,14_t
avg_wpa,NE,0.27210136761019066,18,t,18_t
avg_wpa,NO,0.2101181010382292,7,s,7_s
avg_wpa,NYG,0.09624900329383478,11,m,11_m
avg_wpa,NYJ,0.16204810970184952,20,r,20_r
avg_wpa,PHI,0.38705223412815726,7,s,7_s
avg_wpa,PIT,0.23878130168440687,20,m,20_m
avg_wpa,SEA,0.07372318290443626,17,s,17_s
avg_wpa,SF,0.2811680106239949,20,s,20_s
avg_wpa,TB,0.1638735984598888,20,m,20_m
avg_wpa,TEN,0.08124978690576391,7,s,7_s
avg_wpa,WAS,0.15668222849188398,14,s,14_s
avg_wpa_allowed,ARI,0.3453126690293731,20,t,20_t
avg_wpa_allowed,ATL,0.2561385659637303,20,m,20_m
