id_game,id_posteam,id_defteam,id_season,id_week,outcome_sr,pass_success,rush_success,epa,sr,drive_wpa,drive_points_oe,qb_eloa,points,cushion,separation,intended_air_yards,percent_share_of_intended_air_yards,catch_percentage,yac,expected_yac,yac_above_expectation,team_wp,team_eloa,team_points_result,qb_elo,qb_starts,qb_pacr,qb_dakota,qb_rushing_epa,qb_cpoe,pos_like_res,era
2018_01_TEN_MIA,TEN,MIA,2018,1,0.44846153846153847,57.134528334936505,40.44015884092893,-0.9383248251401672,50.99193086945377,0.5141116145469495,145.98220176737203,64.08606097351006,2865.724299243653,710.9644220220916,319.5920141768844,1262.2684941683835,3508.923376490269,7488.301382199171,472.4812181070649,456.79257217311556,15.68864593394936,3.6840931441680134,225.91556481668957,163.69181334054875,146.22349668399,44,23.9077054582513,2.6029094039378924,0.7138717432739213,-78.69048554276678,1.4308377598531052,4
2018_02_HOU_TEN,TEN,HOU,2018,2,0.4057971014492754,58.56230832437059,39.59640269655021,-4.3575560295733196,51.672879443967574,0.9045657837825324,142.8161319932538,178.29724971672988,2911.3317643063738,814.7594205166747,324.2933976436949,1365.6871421280055,3762.0042964342374,7819.331683705943,542.9972663090264,481.4070883565801,61.59017795244627,-0.4540270505563342,606.0557190218884,180.17943583772615,94.15295771178,13,21.78895312818545,0.18168774981048802,-0.1455838278365823,-231.21494646598433,5.075781635199518,4
2018_03_TEN_JAX,TEN,JAX,2018,3,0.45616438356164385,57.130006813435955,45.07441664904373,-9.701718192963838,52.96789925056618,-1.1314135303323656,110.32309546092714,-281.0835440180478,2444.029099559543,813.5986648074147,347.6061979000915,1387.2728364260688,3787.338646097147,7528.424792530144,513.8628029136914,525.5281746574587,-11.665371743767182,-14.898409601467623,-490.02681985290405,-543.4738671477184,0,45,23.82014957151508,2.498605862216354,0.9049482896943422,-82.96595705499504,4.541114822918013,4
2018_04_PHI_TEN,TEN,PHI,2018,4,0.510655737704918,56.76020646737954,42.389924139798815,-9.268561153648449,52.00447575445792,-0.4327421701907615,123.22104562450812,-395.4293701793691,2575.878240461547,858.1991217670507,338.5461804829671,1353.864623352864,4328.041276596966,7720.7828316865025,498.72975801436667,421.3486808566041,77.38107715776265,-9.913863277051323,-250.1041680890866,-586.5064180674705,129.70110295989,46,23.109895019034767,2.4280526064507226,0.8244425872864667,-86.61294818198522,1.6694218004747288,4
2018_05_TEN_BUF,TEN,BUF,2018,5,0.4639344262295082,59.968159877222476,42.94402880720099,-1.886252320907824,53.50473030691655,0.4262389842807557,140.44109223486896,-141.5510658424382,2731.8724837030177,738.9155267582286,365.7974880696422,1224.2705372733303,4336.316875204075,7844.721685755338,548.2374557182939,511.5881300880536,36.649325630240185,3.9579753453627973,607.9369164288803,554.0306894810174,150.11872685468998,47,23.017563507195057,2.2127811908079744,0.8252016631595325,-87.70398084803406,3.2166970586689865,4
2018_06_BAL_TEN,TEN,BAL,2018,6,0.3293478260869565,59.01423031141951,43.28330350750936,-9.039065037776203,53.70591515089567,0.08167941046929442,124.40421471911591,-134.05946451927863,2606.3156316326767,717.4763109415585,353.8409930889028,1281.6315304484747,3846.641671428098,7661.395371751108,561.4973861648327,498.792016398703,62.70536976612972,-14.92504914509217,-451.68284130286474,-906.1415454289166,0,0,,,0,,3.2066626913589245,4
2018_07_TEN_LAC,TEN,LAC,2018,7,0.5594666666666667,56.0667347840105,44.39928414967811,-6.8337094833801775,51.966874294491106,-0.08068318071941427,114.4870599098139,-200.10853280227488,2269.655668986781,716.1486489018587,359.6486542863486,1300.7371698253855,3607.6169108120157,7608.680675922524,609.9411349406987,523.9368357546571,86.00429918604166,-13.171687872810285,-579.3489904229048,-992.8286141114784,106.15671236279998,48,24.957518764465753,2.379320148469826,1.0225800067729627,-93.99544293169167,3.2080887942312644,4
2018_09_TEN_DAL,TEN,DAL,2018,9,0.4736206896551724,55.56596815134111,43.64873997024482,-0.7630502417925762,50.905981965274435,0.7601594323826751,131.99197559345464,-115.30721412367315,2290.6991263677264,734.3728032362148,321.53841090307833,1205.9989470012003,3879.60153647264,7672.09915429252,507.4223212248628,451.8740505690653,55.54827065579749,-7.963298676174848,-9.497977338518183,-528.1485503401611,117.61864540503,49,25.006889041543836,2.5825136986287367,0.8319055064445516,-57.0444580433134,2.904036144024414,4
2018_10_NE_TEN,TEN,NE,2018,10,0.44433333333333336,59.77369256594337,43.89345391191299,3.9933496576300653,54.20793962242182,1.1084882823147468,171.57779400809733,190.27452237240797,2835.584111472852,705.6732635539065,347.2548636910928,1298.7625928713449,3623.2221513898407,7789.28590671651,547.6707189953579,488.8996539173664,58.771065077991494,-13.015115406576047,1.1702139269291933,-728.9711652058355,130.57214803116,50,23.939598593200756,2.8470344272555432,0.5616918017369851,-41.04070060955455,3.857690079729953,4
2018_11_TEN_IND,TEN,IND,2018,11,0.480188679245283,64.74525213417563,44.14178709875867,8.127264203166037,56.362980748888276,1.9465070079640499,190.67752566026817,591.8147591219483,2965.1780173110187,745.913896792328,364.33737285130303,1227.6161619987045,4034.5753202935975,8080.437631788508,490.54730493114243,493.53180926167363,-2.984504330531161,-5.169844266976334,41.68924501064707,-407.7286218441875,0,14,21.50483653008056,0.2497452623719789,-0.1659917678833673,-220.1914880562992,3.4156536228452734,4
2018_12_TEN_HOU,TEN,HOU,2018,12,0.4809090909090909,59.75522542475798,38.41299764873341,3.987457576268636,51.70075553667003,1.1635565159650205,170.07594198262245,203.06582937839477,2942.856838651506,781.82542870671,361.32894101724384,1215.8429548427735,4081.9652118094223,7977.964659597546,529.5497426586295,458.12870595963204,71.42103669899745,-6.803520762424842,-166.00763470832823,-123.7564214318239,118.05608997798,51,26.440705638889845,3.1435711400249935,0.816981858839669,-25.693939978946943,4.064877488154523,4
2018_13_NYJ_TEN,TEN,NYJ,2018,13,0.441038961038961,60.843245979050295,42.47094719559209,7.536098133760434,53.46742711877259,1.815853978497845,174.39555937029598,425.2667813975339,3117.4827546242977,715.3665602325144,376.7237446466886,1268.6908529245648,4202.650276824681,7799.874434100195,552.0597031514839,513.2915832532823,38.76811989820155,-2.749081470798391,151.1461426050069,114.30224618425285,132.53889821271,52,27.105497282889413,2.9546718521468187,0.7824096707937618,-40.567561042519955,3.6579698419776117,4
2018_14_JAX_TEN,TEN,JAX,2018,14,0.5776595744680851,61.68369964296938,38.40554505931648,1.9193762849213227,53.0855019095999,0.48453753326501725,142.92747021456614,185.94483004889895,2688.0547354647497,741.6492211855605,375.469731883993,1272.1393873537418,4058.7611500272824,7653.713196026056,592.8845839730997,537.8277719332845,55.05681203981522,-9.5336555028414125,245.10330352048882,46.27268759158113,138.07190719806,53,27.796292629344375,3.2768446579890087,0.5989280137466266,-10.620451025379223,4.6570850101878785,4
2018_15_TEN_NYG,TEN,NYG,2018,15,0.43,58.04579464420202,44.25591668285114,5.306012542785854,53.11892760349386,1.360353911488927,166.71827773872576,-151.44747759422353,2850.6272042791047,710.0459991625437,354.36760351109035,1248.2529793247093,4121.387715243047,7707.571465113402,538.2605918101506,435.42718503389335,102.83340677625728,-4.189988392822556,-20.591949612047955,29.662709127727886,133.48243947852,54,26.872504286291427,2.702852769032881,0.490024450304918,-33.54486424944056,2.9048065777481855,4
2018_16_WAS_TEN,TEN,WAS,2018,16,0.5078333333333334,59.67976961863306,46.09143427267037,5.245656330436156,54.4796162000908,1.2025411002435404,168.46058610906795,2.8429434637024436,2776.5322264706965,732.2767527884153,375.9678650424048,1144.8592440235989,4155.566637626274,7873.370403286526,605.5734929372773,481.57238474738506,124.0011081898922,-2.5193919293989246,346.38856351618955,131.5409210748076,0,0,,,0,,3.814995256993469,4
2019_01_TEN_CLE,TEN,CLE,2019,1,0.43018181818181817,59.26105664549539,45.74649519009333,1.9305852502151564,54.709587689718475,0.602991296705541,144.23938615252996,-362.52310889310326,2743.153687648527,689.2928706751582,367.35675285954477,1145.956611073936,3974.3411760887934,7654.49785091182,530.2965556590443,500.02452573190925,30.272029927135094,1.4700130584906823,-65.40902817576341,356.6907285917905,129.5163322233,55,27.340382654799484,2.8526141231299444,0.4974612132840169,-27.97642446217089,2.2165596461509507,5
2019_02_IND_TEN,TEN,IND,2019,2,0.3745588235294118,62.804409631315906,44.533498625390635,6.890704687545336,55.52286975223152,2.2146423245559337,160.3966194582182,384.50380628482606,2837.073402557372,719.7189018897768,400.596659604403,1167.6761732901414,4220.824556828885,8416.757633340096,504.8667127814995,519.533515573524,-14.66680279202453,-0.7784206498048896,25.592294306808753,-146.48188327393365,136.35795211437298,56,27.9666641449269,2.9480448447401453,0.913472037569531,-11.966413751386527,4.327127125862462,5
2019_03_TEN_JAX,TEN,JAX,2019,3,0.2120967741935484,60.759010942941835,39.39855083215729,5.767830477448777,52.3332474198193,1.7188628030846158,147.69380924007626,61.72954805041216,2780.0361653276486,698.3789956247456,350.5999584747949,1267.8454767751532,4271.26100264436,7634.213897302032,564.7882939448896,526.7165409011002,38.071753043789364,3.1741332601095316,981.3610574447584,625.4564982294837,132.85681924627033,57,28.310787358994553,2.67461151115436,0.9294179165786177,-11.24434151058016,4.170239741645679,5
2019_04_TEN_ATL,TEN,ATL,2019,4,0.5283018867924528,63.37625654063912,44.96910720968503,10.955799864220552,55.60108352349912,2.190636490617438,170.34638237744701,123.9206931199172,2925.6695232394354,716.141155711098,342.1843717584601,1287.7087088721778,4038.694280861315,7728.109620283094,418.72110345718886,423.46327579418994,-4.742172337001151,-1.6981589032157132,403.9594260914041,305.69998695647314,119.34683418369887,58,29.364060493963397,2.79576330742887,0.7782375262790093,1.1921126447986836,3.463231170031975,5
2019_05_BUF_TEN,TEN,BUF,2019,5,0.38416666666666666,55.68560875074829,47.68896672509759,-1.395687562817598,52.930328035782495,1.2908701016505,111.78712178707067,-485.92078208770363,2712.5979637010587,743.2233764172336,352.2233216560869,1239.3690055458114,4381.9723357929215,7802.458762194787,459.3859171510096,448.0503176394235,11.33559951158605,-2.4445171955140665,121.48261484948873,-51.42105897261226,137.9768025738653,59,31.109561194243508,2.7679750920556443,0.5533633425554179,9.788353102962025,3.8782852367177134,5
2019_06_TEN_DEN,TEN,DEN,2019,6,0.30471698113207546,57.8786618889243,42.0818043831717,4.745922644668317,52.04277893549782,1.4877519281994374,133.14666749878796,-114.45323938241597,2682.4431191270205,714.0500812502312,350.2559379803423,1227.5934464815768,4428.95222843843,7924.078321619546,492.0385922318721,479.2369034667092,12.8016887651629,3.850581161019715,326.74070840769105,94.5081350916246,0,25,23.81754740494343,2.0396301440616225,-1.0428312574150331,40.8426757897547,2.260313924419209,5
2019_06_TEN_DEN,TEN,DEN,2019,6,0.30471698113207546,57.8786618889243,42.0818043831717,4.745922644668317,52.04277893549782,1.4877519281994374,133.14666749878796,-114.45323938241597,2682.4431191270205,714.0500812502312,350.2559379803423,1227.5934464815768,4428.95222843843,7924.078321619546,492.0385922318721,479.2369034667092,12.8016887651629,3.850581161019715,326.74070840769105,94.5081350916246,127.92840529191557,60,29.703649314711996,2.6050574488270946,0.5280315204051862,-5.498942653554589,2.260313924419209,5
2019_07_LAC_TEN,TEN,LAC,2019,7,0.5246268656716417,60.18830034885062,41.111745246933616,4.57871861222757,52.93236813279366,1.5899065664430188,149.0857084258294,54.42879012412173,2850.9424973140376,724.5288785103785,358.3980375792527,1263.7290353909425,4573.152176570989,7849.023770458867,500.7692571277928,434.1675886343801,66.60166849341273,-1.627643261325673,308.23841416804885,60.740050362098884,108.60302175524998,26,24.86634539770805,2.0526457088942776,-1.258227054435789,64.49561091461293,2.5222069081491947,5
2019_08_TB_TEN,TEN,TB,2019,8,0.4393939393939394,61.16772833729755,42.05315700955461,3.3201616594148424,54.29229450174636,1.4680419784804957,141.71208609411434,-82.14452325719483,2967.4894847126284,722.9586930874681,371.1433704688329,1158.7650416903111,3830.9935952604087,8731.382820912291,491.0344813548994,477.576174276668,13.458307078231446,3.5220030645172002,487.0619366990648,252.32331069715585,122.77808793058212,27,23.718089329215562,2.1087730663426676,-1.3152249596572463,54.12127434659791,1.4661352201257862,5
2019_09_TEN_CAR,TEN,CAR,2019,9,0.443,56.06217965345809,42.9877033195697,1.4675942480421849,50.87220576953572,1.570423530107088,124.55007244903382,-344.8475821258213,2839.246450765575,770.5418176458618,354.6506873543386,1217.3255840498255,3814.986277448635,8301.769889115067,556.9956141759244,488.63757271696454,68.35804145895982,0.7985103680606187,789.6228654839524,575.1431636892773,123.06388582161696,28,24.252429753446872,2.3373253302952124,-0.7042118973977535,53.337855972915555,2.6685430839389346,5
2019_10_KC_TEN,TEN,KC,2019,10,0.5447272727272727,57.136954455338035,44.26965845813923,-0.0015380579518790571,52.6424145740419,1.4326241746078938,140.1622714903146,-380.17678965153135,2734.779929326849,682.9515042465471,353.22440129907386,1195.5046939011822,3191.9629059224294,7794.706314747429,447.491095270325,429.16975512202714,18.32134014829788,-6.778927393202771,112.19367595262892,17.212171359547497,134.35694177783395,29,23.690470488559118,2.3335296863247823,-0.4151744329240465,48.846775231827934,2.9120681099038532,5
2019_12_JAX_TEN,TEN,JAX,2019,12,0.5769767441860465,59.43655169187599,39.540149913723816,2.283878860861786,52.34716554736798,0.7978329528458933,108.8515008475241,-68.08876728437104,2607.80500675205,701.7764223205697,329.8950995099299,1211.5909023216857,3936.773831794394,7719.436677659762,555.4345335454889,488.6897217616451,66.7448117838438,-0.7165495694352018,62.620551821982275,350.8230536560138,138.05982868340124,30,23.95275759318199,2.6281692728137283,0.30051936212831054,54.364511982448356,3.0533753717610543,5
